section,top1,top2,top3,top4,top5,gender
EE6435 Mu'-Dim' Data Mo' and Its App',,,,,,Male
EE6435 Mu'-Dim' Data Mo' and Its App',,,,,,
EE6435 Mu'-Dim' Data Mo' and Its App',,,,,,
EE6435 Mu'-Dim' Data Mo' and Its App',,,,,,
EE6435 Mu'-Dim' Data Mo' and Its App',,,,,,
EE6435 Mu'-Dim' Data Mo' and Its App',15,18,13,8,1,Male
EE6435 Mu'-Dim' Data Mo' and Its App',1,5,14,11,23,Male
EE6435 Mu'-Dim' Data Mo' and Its App',25,33,15,19,1,Female
EE6435 Mu'-Dim' Data Mo' and Its App',14,8,15,7,20,Male
EE6435 Mu'-Dim' Data Mo' and Its App',14,8,15,7,20,Female
EE6435 Mu'-Dim' Data Mo' and Its App',18,8,15,13,1,Male
EE6435 Mu'-Dim' Data Mo' and Its App',2,24,22,5,20,Male
EE6435 Mu'-Dim' Data Mo' and Its App',8,8,5,2,24,Male
EE6435 Mu'-Dim' Data Mo' and Its App',39,27,21,9,33,Male
EE6435 Mu'-Dim' Data Mo' and Its App',9,2,8,10,16,Male
EE6435 Mu'-Dim' Data Mo' and Its App',2,7,4,19,21,Female
EE6435 Mu'-Dim' Data Mo' and Its App',17,24,16,12,6,Male
EE6435 Mu'-Dim' Data Mo' and Its App',21,18,13,16,5,Male
EE6435 Mu'-Dim' Data Mo' and Its App',21,8,24,13,22,Female
EE6435 Mu'-Dim' Data Mo' and Its App',23,19,22,11,18,Male
EE6435 Mu'-Dim' Data Mo' and Its App',20,5,7,2,21,Male
EE6435 Mu'-Dim' Data Mo' and Its App',1,6,2,8,10,Male
EE6435 Mu'-Dim' Data Mo' and Its App',1,8,5,7,20,Male
EE6435 Mu'-Dim' Data Mo' and Its App',8,20,1,5,2,Female
EE6435 Mu'-Dim' Data Mo' and Its App',5,16,20,22,24,Male
EE6435 Mu'-Dim' Data Mo' and Its App',10,4,14,6,2,Male
EE6435 Mu'-Dim' Data Mo' and Its App',2,20,10,12,14,Male
