1st,2nd,3rd,4th,5th,gender
18,8,46,27,21,Female
5,7,20,2,23,Female
46,27,26,18,29,Female
5,2,20,24,17,Male
2,14,22,18,11,Male
5,2,18,12,15,Male
20,14,7,23,5,Female
24,2,12,1,6,Male
7,20,2,11,13,Male
10,2,15,6,11,Male
2,5,24,6,18,Male
6,11,20,5,22,Male
3,11,4,10,21,Male
5,11,16,20,8,Female
6,4,2,18,15,Female
18,8,23,1,6,Male
4,14,22,17,2,Male
14,11,1,10,4,Male
15,2,4,18,10,Male
20,5,10,17,2,Male
2,5,11,19,16,Female
16,8,22,10,6,Male
7,8,10,12,15,Male
6,7,19,1,5,Male
6,15,1,2,4,Male
18,7,29,48,8,Male
19,8,12,1,18,Male
2,18,16,12,17,Male
22,1,12,3,6,Female
1,14,22,18,11,Male
6,1,14,23,5,Female
14,18,2,10,1,Male
16,20,5,2,18,Male
17,5,2,7,10,Male
2,11,19,1,18,Female
4,2,5,15,20,Female
16,20,22,2,1,Male
12,22,15,1,6,Female
2,3,7,19,16,Male
8,5,14,16,23,Female
17,2,1,6,18,Male
40,48,18,49,7,Female
2,20,13,5,14,Male
7,23,13,22,18,Female
5,2,20,17,1,Male
20,17,11,7,19,Male
10,19,17,1,5,Female
4,26,7,8,38,Female
2,22,12,17,1,Male
17,2,5,1,6,Male
4,16,2,19,5,Female
18,6,2,22,3,Male
18,6,23,8,1,Male
11,8,3,2,14,Male
2,6,8,9,19,Male
23,6,18,11,8,Male
6,14,17,2,7,Male
20,1,5,7,12,Female
2,6,11,19,16,Male
2,1,5,14,22,Male
22,8,5,2,20,Male
2,8,10,16,1,Female
2,14,1,6,4,Female
5,2,22,20,8,Male
1,5,7,20,6,Male
16,1,19,23,12,Male
5,6,20,8,22,Male
2,5,19,13,6,Male
2,18,13,20,6,Male
4,9,5,11,10,Male
1,17,7,11,15,Male
12,13,13,10,6,Male
8,15,21,19,7,Male
20,17,11,10,14,Male
14,11,6,20,5,Male
5,17,10,1,2,Male
1,2,10,12,5,Male
13,1,14,18,5,Female
13,2,18,11,15,
10,18,17,20,21,Female
19,7,15,21,2,Male
20,13,5,18,23,Female
20,13,23,1,6,Female
17,12,2,15,20,Male
